id,name,image_file,position_left,position_top,width,height,z_index
windscreen,Windscreen,windscreen.png,57.31%,25.87%,14.63%,20.62%,1
bonnet,Bonnet,bonnet.png,68.06%,24.32%,26.97%,24.83%,1
boot,Boot,boot.png,57.21%,72.06%,14.63%,15.15%,1
roof,Roof,roof.png,37.81%,29.56%,24.28%,40.80%,1
rear-window,Rear Window,rear-window.png,42.59%,51.36%,14.63%,20.62%,1
front-bumper,Front Bumper,front-bumper.png,4.18%,87.21%,37.21%,6.28%,1
rear-bumper,Rear Bumper,rear-bumper.png,58.51%,87.21%,37.21%,6.28%,1
lf-headlight,Left Front Headlight,lf-headlight.png,6.97%,11.75%,9.05%,2.51%,1
fr-headlight,Right Front Headlight,fr-headlight.png,6.97%,85.36%,9.05%,2.51%,1
lr-taillight,Left Rear Taillight,lr-taillight.png,15.72%,79.45%,9.45%,2.44%,1
rr-taillight,Right Rear Taillight,rr-taillight.png,75.22%,79.45%,9.45%,2.44%,1
lf-mirror,Left Front Mirror,lf-mirror.png,3.98%,16.63%,4.78%,2.36%,1
fr-mirror,Right Front Mirror,fr-mirror.png,91.34%,80.93%,4.78%,2.36%,1
lf-fender,Left Front Fender,lf-fender.png,5.87%,56.91%,31.84%,16.26%,1
fr-fender,Right Front Fender,fr-fender.png,61.89%,6.21%,31.84%,16.26%,1
lf-door,Left Front Door,lf-door.png,32.64%,52.84%,22.99%,15.67%,1
fr-door,Right Front Door,fr-door.png,44.08%,2.22%,22.89%,15.67%,1
lr-door,Left Rear Door,lr-door.png,32.44%,47.30%,22.99%,15.67%,1
rr-door,Right Rear Door,rr-door.png,44.38%,47.30%,22.99%,15.67%,1
lr-quarter-panel,Left Rear Quarter Panel,lr-quarter-panel.png,9.75%,50.99%,22.99%,21.73%,1
rr-quarter-panel,Right Rear Quarter Panel,rr-quarter-panel.png,67.36%,50.99%,22.99%,21.73%,1
lf-rim,Left Front Rim,LF-Rim.png,23.48%,66.44%,8.16%,9.31%,2
lr-rim,Left Rear Rim,LR-Rim.png,11.34%,66.44%,8.16%,9.31%,2
rf-rim,Right Front Rim,rf-rim.png,68.76%,66.44%,8.16%,9.31%,2
rr-rim,Right Rear Rim,rr-rim.png,80.30%,66.44%,8.16%,9.31%,2
left-skirting,Left Skirting,Left-Skirting.png,2%,40%,8%,25%,1
right-skirting,Right Skirting,Right-Skirting.png,90%,40%,8%,25%,1